Gene ID	Gene Name	Description	GO	KEGG	NFkB	ReactomePathway	ReactomeReaction
GCM1	GCM1	Glial cells missing homolog 1 (Drosophila)	GO:0003700 GO:0005634 GO:0005667 GO:0006350 GO:0006355 GO:0008134 GO:0008270 GO:0009653 GO:0046872 	 	 	 	 
CLCN1	CLCN1	"Chloride channel 1, skeletal muscle (Thomsen disease, autosomal dominant)"	GO:0005215 GO:0005247 GO:0005887 GO:0006810 GO:0006811 GO:0006821 GO:0006936 GO:0016020 GO:0031404 	 	p50_(+LPS)	 	 
CTSG	CTSG	Cathepsin G	GO:0004261 GO:0005615 GO:0005626 GO:0006508 GO:0006955 GO:0008233 	hsa04080 	 	 	 
CSNK2A2	CSNK2A2	"Casein kinase 2, alpha prime polypeptide"	GO:0000074 GO:0000166 GO:0004674 GO:0004682 GO:0004713 GO:0005515 GO:0005524 GO:0005956 GO:0006468 GO:0007165 GO:0007286 GO:0016055 GO:0016740 	hsa04310 hsa04520 hsa04530 	 	 	 
TCFL1	TCFL1	none	 	 	 	 	 
POFUT1	POFUT1	Protein O-fucosyltransferase 1	GO:0001525 GO:0001756 GO:0005615 GO:0005737 GO:0005783 GO:0005975 GO:0006004 GO:0006445 GO:0007219 GO:0007399 GO:0007507 GO:0009790 GO:0016266 GO:0016757 GO:0030145 GO:0030173 GO:0045449 GO:0046922 	 	 	 	 
GPA33	GPA33	Glycoprotein A33 (transmembrane)	GO:0004872 GO:0005886 GO:0005887 GO:0016020 	 	 	 	 
SLC30A3	SLC30A3	"Solute carrier family 30 (zinc transporter), member 3"	GO:0005624 GO:0005768 GO:0005887 GO:0006812 GO:0006829 GO:0008021 GO:0008270 GO:0008324 GO:0015633 GO:0016020 GO:0016021 	 	 	 	 
ONECUT1	ONECUT1	"One cut domain, family member 1"	GO:0003700 GO:0005634 GO:0006006 GO:0006355 GO:0007492 GO:0016563 GO:0030154 GO:0043565 	hsa04950 	 	 	 
BRF1	BRF1	"BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)"	GO:0000126 GO:0003700 GO:0003702 GO:0003709 GO:0005515 GO:0005634 GO:0005667 GO:0006352 GO:0006355 GO:0006384 GO:0008270 GO:0009303 GO:0009304 GO:0016563 GO:0030528 GO:0043488 GO:0045941 GO:0046872 	 	 	74158 74159 76046 76061 76066 	76056 76060 83723 83790 83805 112055 112149 112150 112153 112155 
KIR2DL4	KIR2DL4	none	 	 	 	 	 
IGFBP3	IGFBP3	Insulin-like growth factor binding protein 3	GO:0001558 GO:0005520 GO:0005576 GO:0005615 GO:0008160 GO:0009968 GO:0043065 GO:0045663 GO:0046872 	 	 	 	 
FSHPRH1	FSHPRH1	none	 	 	 	 	 
GLRA2	GLRA2	"Glycine receptor, alpha 2"	GO:0004890 GO:0004891 GO:0005216 GO:0005230 GO:0005887 GO:0006811 GO:0006821 GO:0007166 GO:0016934 GO:0030594 GO:0031404 GO:0045211 	hsa04080 	 	 	 
NOS1	NOS1	Nitric oxide synthase 1 (neuronal)	GO:0004517 GO:0005506 GO:0005516 GO:0005624 GO:0006118 GO:0006809 GO:0006936 GO:0007267 GO:0007268 GO:0009055 GO:0010181 GO:0020037 GO:0045202 GO:0046872 GO:0050660 GO:0050661 	hsa00330 hsa04020 hsa04730 	 	 	 
ATP12A	ATP12A	"ATPase, H+/K+ transporting, nongastric, alpha polypeptide"	GO:0000166 GO:0000287 GO:0005524 GO:0005889 GO:0006813 GO:0008152 GO:0008900 GO:0015992 GO:0016020 GO:0016021 GO:0016787 GO:0030955 	hsa00190 	 	 	 
ZNF143	ZNF143	Zinc finger protein 143	GO:0003677 GO:0003704 GO:0003709 GO:0005622 GO:0005634 GO:0006350 GO:0006357 GO:0006359 GO:0008270 GO:0046872 	 	 	74158 74159 76046 76071 	83791 83793 83803 112054 112152 112156 
CTLA4	CTLA4	Cytotoxic T-lymphocyte-associated protein 4	GO:0005615 GO:0005887 GO:0006955 GO:0016020 GO:0016021 	hsa04514 hsa04660 	 	 	 
CDSN	CDSN	Corneodesmosin	 	 	 	 	 
GZMM	GZMM	Granzyme M (lymphocyte met-ase 1)	GO:0004252 GO:0004263 GO:0004295 GO:0005615 GO:0006508 GO:0019835 	 	 	 	 
TAF1	TAF1	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa"	GO:0000080 GO:0000166 GO:0003677 GO:0004402 GO:0004674 GO:0005515 GO:0005524 GO:0005634 GO:0005669 GO:0006350 GO:0006352 GO:0006355 GO:0007049 GO:0016301 GO:0016740 GO:0046777 	hsa03022 	 	73776 73779 73857 74159 74160 75953 75983 76042 162587 162599 162906 167161 167162 167164 167172 	73946 75095 75850 75856 75861 75862 75864 75866 75869 75873 75949 109636 109637 109638 109639 167095 167097 167099 167108 167110 167113 167118 167121 167130 167134 167135 167136 167474 167477 167484 
MPP2	MPP2	"Membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)"	GO:0004385 GO:0005515 GO:0005624 GO:0005887 GO:0006461 GO:0007165 GO:0009986 GO:0016020 	 	 	 	 
AVPR1B	AVPR1B	Arginine vasopressin receptor 1B	GO:0001584 GO:0004872 GO:0005000 GO:0005080 GO:0005768 GO:0005886 GO:0005887 GO:0007165 GO:0007186 GO:0007202 GO:0007204 GO:0016021 GO:0045028 	hsa04020 hsa04080 	 	 	 
CYP11B1	CYP11B1	"Cytochrome P450, family 11, subfamily B, polypeptide 1"	GO:0004497 GO:0004507 GO:0005506 GO:0005739 GO:0005783 GO:0005792 GO:0006118 GO:0006629 GO:0006700 GO:0016020 GO:0020037 GO:0046872 	hsa00140 hsa00150 	 	 	 
OR1E1	OR1E1	"Olfactory receptor, family 1, subfamily E, member 1"	GO:0004872 GO:0004984 GO:0007165 GO:0007186 GO:0007608 GO:0016020 GO:0016021 GO:0050896 	 	 	 	 
NR5A1	NR5A1	"Nuclear receptor subfamily 5, group A, member 1"	GO:0001553 GO:0003677 GO:0003700 GO:0003707 GO:0003713 GO:0005496 GO:0005515 GO:0005634 GO:0006350 GO:0006355 GO:0006357 GO:0007165 GO:0007267 GO:0007538 GO:0008270 GO:0008289 GO:0008584 GO:0009888 GO:0016563 GO:0030154 GO:0030325 GO:0043565 GO:0045944 GO	 	 	 	 
MAG	MAG	Malignancy-associated protein	 	 	 	 	 
E2F1	E2F1	none	 	 	 	 	 
ABAT	ABAT	4-aminobutyrate aminotransferase	GO:0003867 GO:0005739 GO:0005759 GO:0007268 GO:0009448 GO:0016740 GO:0030170 GO:0042135 GO:0047298 	hsa00251 hsa00252 hsa00280 hsa00410 hsa00640 hsa00650 	 	 	 
AANAT	AANAT	Arylalkylamine N-acetyltransferase	GO:0004059 GO:0007623 GO:0008415 GO:0016740 	hsa00380 	 	 	 
ZXDA	ZXDA	"Zinc finger, X-linked, duplicated A"	GO:0000004 GO:0003677 GO:0005554 GO:0005622 GO:0005634 GO:0008270 GO:0046872 	 	 	 	 
AQP7	AQP7	Aquaporin 7	GO:0005215 GO:0005887 GO:0006091 GO:0006810 GO:0006833 GO:0007588 GO:0015250 GO:0015254 GO:0015288 GO:0015793 GO:0016020 GO:0016021 GO:0019867 	 	 	 	 
KRTHA5	KRTHA5	none	 	 	 	 	 
CRMP1	CRMP1	Collapsin response mediator protein 1	GO:0004157 GO:0005515 GO:0006139 GO:0007399 GO:0016787 GO:0030425 GO:0043025 	 	 	 	 
USP11	USP11	Ubiquitin specific peptidase 11	GO:0004197 GO:0004221 GO:0005634 GO:0006511 GO:0006512 GO:0008233 	 	 	 	 
CA9	CA9	Carbonic anhydrase IX	GO:0004089 GO:0005634 GO:0006730 GO:0008270 GO:0016020 GO:0016021 GO:0016829 GO:0046872 	hsa00910 	 	 	 
GRIN2C	GRIN2C	"Glutamate receptor, ionotropic, N-methyl D-aspartate 2C"	GO:0000287 GO:0004872 GO:0004972 GO:0005215 GO:0005216 GO:0005234 GO:0005509 GO:0005615 GO:0005887 GO:0006811 GO:0007215 GO:0016021 GO:0045211 	hsa04020 hsa04080 hsa04720 	 	 	 
ARHGEF16	ARHGEF16	Rho guanine exchange factor (GEF) 16	GO:0005089 GO:0005622 GO:0035023 	 	 	 	 
SCN1B	SCN1B	"Sodium channel, voltage-gated, type I, beta"	GO:0005248 GO:0005615 GO:0005624 GO:0006811 GO:0006814 GO:0007268 GO:0016020 GO:0016021 GO:0031402 	 	 	 	 
MT1A	MT1A	none	 	 	 	 	 
NBL1	NBL1	"Neuroblastoma, suppression of tumorigenicity 1"	GO:0005515 GO:0005615 GO:0007049 GO:0045786 	 	 	 	 
SLC6A9	SLC6A9	"Solute carrier family 6 (neurotransmitter transporter, glycine), member 9"	GO:0005283 GO:0005328 GO:0005624 GO:0005887 GO:0006836 GO:0006865 GO:0015171 GO:0015293 GO:0015375 GO:0016020 	 	 	 	 
GRIK3	GRIK3	"Glutamate receptor, ionotropic, kainate 3"	GO:0004872 GO:0004970 GO:0005215 GO:0005216 GO:0005234 GO:0005267 GO:0005624 GO:0005887 GO:0006810 GO:0006811 GO:0006813 GO:0007215 GO:0008328 GO:0015277 GO:0016020 GO:0042802 GO:0045211 	hsa04080 	 	 	 
ZNF177	ZNF177	none	 	 	 	 	 
GPR68	GPR68	G protein-coupled receptor 68	GO:0001584 GO:0004872 GO:0005887 GO:0006954 GO:0007165 GO:0007186 GO:0016020 GO:0045125 	 	 	 	 
AEBP1	AEBP1	AE binding protein 1	GO:0001501 GO:0003677 GO:0003700 GO:0003714 GO:0004180 GO:0004182 GO:0005615 GO:0005634 GO:0005737 GO:0006355 GO:0006508 GO:0007155 GO:0007517 	 	 	 	 
ZNF91	ZNF91	Zinc finger protein 91	GO:0003700 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0046872 	 	 	 	 
PRKCA	PRKCA	"Protein kinase C, alpha"	GO:0000074 GO:0000166 GO:0000188 GO:0001933 GO:0001934 GO:0002026 GO:0004697 GO:0004698 GO:0005509 GO:0005515 GO:0005524 GO:0005624 GO:0005634 GO:0005739 GO:0006468 GO:0006469 GO:0006874 GO:0006937 GO:0007166 GO:0007242 GO:0008270 GO:0008624 GO:0008629 GO	hsa04010 hsa04020 hsa04070 hsa04310 hsa04370 hsa04510 hsa04530 hsa04540 hsa04650 hsa04664 hsa04670 hsa04720 hsa04730 hsa04912 hsa05110 hsa05130 hsa05131 	 	75178 76005 109582 114516 	114553 114683 114684 
PTPRS	PTPRS	"Protein tyrosine phosphatase, receptor type, S"	GO:0004721 GO:0004725 GO:0004727 GO:0004872 GO:0005001 GO:0005515 GO:0005615 GO:0005887 GO:0006470 GO:0006796 GO:0007155 GO:0007185 GO:0016020 GO:0016021 GO:0016787 	 	 	 	 
PALM	PALM	Paralemmin	GO:0005737 GO:0005886 GO:0005887 GO:0006928 GO:0007010 GO:0008360 GO:0016023 	 	p50_(-LPS) p50_(+LPS)	 	 
EFNA3	EFNA3	Ephrin-A3	GO:0005005 GO:0005887 GO:0007267 GO:0016020 GO:0048503 	hsa04360 	 	 	 
KEL	KEL	"Kell blood group, metalloendopeptidase"	GO:0004175 GO:0004245 GO:0005515 GO:0005856 GO:0005887 GO:0006487 GO:0006508 GO:0008237 GO:0008270 GO:0016020 GO:0016021 GO:0016511 GO:0042310 GO:0046872 	 	 	 	 
HOXB3	HOXB3	none	 	 	 	 	 
WNT10B	WNT10B	"Wingless-type MMTV integration site family, member 10B"	GO:0004871 GO:0005102 GO:0005576 GO:0005615 GO:0007165 GO:0007223 GO:0007267 GO:0007275 GO:0009887 	hsa04310 hsa04340 	 	 	 
VAV2	VAV2	Vav 2 oncogene	GO:0005085 GO:0005089 GO:0005154 GO:0005515 GO:0005622 GO:0005737 GO:0005886 GO:0007242 GO:0007264 GO:0008270 GO:0016477 GO:0019992 GO:0030032 GO:0035023 GO:0043552 GO:0046872 	hsa04510 hsa04650 hsa04660 hsa04662 hsa04664 hsa04670 hsa04810 	 	 	 
ARF4L	ARF4L	none	 	 	 	 	 
OR1D2	OR1D2	"Olfactory receptor, family 1, subfamily D, member 2"	GO:0004872 GO:0004984 GO:0005887 GO:0006928 GO:0007165 GO:0007186 GO:0007608 GO:0016020 GO:0050896 	 	 	 	 
CRABP1	CRABP1	Cellular retinoic acid binding protein 1	GO:0005215 GO:0005501 GO:0005737 GO:0006810 GO:0007165 GO:0007275 GO:0008289 GO:0016918 	 	 	 	 
KRTAP1-1	KRTAP1-1	Keratin associated protein 1-1	GO:0000004 GO:0005576 GO:0030280 GO:0045095 	 	 	 	 
DRD2	DRD2	Dopamine receptor D2	GO:0001584 GO:0001591 GO:0004935 GO:0004952 GO:0004983 GO:0005882 GO:0005886 GO:0005887 GO:0007165 GO:0007186 GO:0007195 GO:0007268 GO:0007399 GO:0016020 GO:0016021 GO:0042493 	hsa04080 hsa04540 	 	 	 
TRAF4	TRAF4	TNF receptor-associated factor 4	GO:0003677 GO:0005515 GO:0005634 GO:0007165 GO:0007275 GO:0007585 GO:0008270 GO:0030323 GO:0042981 GO:0046872 	 	 	 	 
TNFRSF17	TNFRSF17	"Tumor necrosis factor receptor superfamily, member 17"	GO:0004872 GO:0005515 GO:0005886 GO:0006955 GO:0007165 GO:0007275 GO:0008283 GO:0016021 GO:0019735 	hsa04060 	 	 	 
BAIAP1	BAIAP1	none	 	 	 	 	 
MVK	MVK	Mevalonate kinase (mevalonic aciduria)	GO:0000166 GO:0004496 GO:0005524 GO:0005737 GO:0005777 GO:0006468 GO:0006695 GO:0008152 GO:0008299 GO:0016740 GO:0042802 	hsa00100 	 	 	 
IGLV3-1	IGLV3-1	none	 	 	 	 	 
SMPDL3B	SMPDL3B	"Sphingomyelin phosphodiesterase, acid-like 3B"	GO:0005615 GO:0005975 GO:0016787 GO:0016798 	 	 	 	 
DDR2	DDR2	"Discoidin domain receptor family, member 2"	GO:0000166 GO:0004713 GO:0004714 GO:0004872 GO:0005524 GO:0005887 GO:0006468 GO:0007155 GO:0007165 GO:0007169 GO:0008284 GO:0016020 GO:0016021 GO:0016740 	 	 	 	 
C21orf2	C21orf2	Chromosome 21 open reading frame 2	GO:0000004 GO:0005554 GO:0008372 	 	 	 	 
CLUL1	CLUL1	Clusterin-like 1 (retinal)	GO:0008219 	 	 	 	 
NAT2	NAT2	N-acetyltransferase 2 (arylamine N-acetyltransferase)	GO:0004060 GO:0008152 GO:0016407 GO:0016740 	 	 	140192 156580 156582 	158832 174967 
TCF1	TCF1	"Transcription factor 1, hepatic; LF-B1, hepatic nuclear factor (HNF1), albumin proximal factor"	GO:0003700 GO:0003702 GO:0005515 GO:0005634 GO:0005667 GO:0006357 GO:0016563 GO:0043565 GO:0045453 GO:0045941 GO:0045944 	hsa04950 	 	 	 
MMP16	MMP16	Matrix metallopeptidase 16 (membrane-inserted)	GO:0000270 GO:0004222 GO:0005509 GO:0005578 GO:0005615 GO:0005886 GO:0005887 GO:0006508 GO:0008047 GO:0008270 GO:0016021 GO:0030574 	 	 	 	 
MPP3	MPP3	"Membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)"	GO:0004385 GO:0005515 GO:0005887 GO:0007165 GO:0007242 GO:0009986 	 	 	 	 
MC4R	MC4R	Melanocortin 4 receptor	GO:0001584 GO:0004872 GO:0004977 GO:0005515 GO:0005886 GO:0007165 GO:0007186 GO:0007188 GO:0007582 GO:0007631 GO:0016021 GO:0019222 	hsa04080 	 	 	 
ESR2	ESR2	Estrogen receptor 2 (ER beta)	GO:0001764 GO:0003677 GO:0003700 GO:0003707 GO:0003713 GO:0005496 GO:0005515 GO:0005634 GO:0005739 GO:0006350 GO:0006355 GO:0007165 GO:0007267 GO:0007420 GO:0008270 GO:0008289 GO:0030284 GO:0030308 GO:0030520 GO:0043565 GO:0046872 GO:0048019 	 	 	 	 
ZNF142	ZNF142	Zinc finger protein 142	GO:0003700 GO:0005622 GO:0005634 GO:0006350 GO:0006355 GO:0008270 GO:0046872 	 	 	 	 
TCOF1	TCOF1	Treacher Collins-Franceschetti syndrome 1	GO:0001501 GO:0005215 GO:0005634 GO:0005730 GO:0006810 GO:0042790 	 	 	 	 
CSRP3	CSRP3	Cysteine and glycine-rich protein 3 (cardiac LIM protein)	GO:0005515 GO:0005634 GO:0007519 GO:0008270 GO:0030018 GO:0030154 GO:0046872 	 	 	 	 
APBA1	APBA1	"Amyloid beta (A4) precursor protein-binding, family A, member 1 (X11)"	GO:0005515 GO:0006461 GO:0006886 GO:0007155 GO:0007242 GO:0007268 GO:0007399 GO:0008021 GO:0008088 GO:0015031 	hsa01510 	 	 	 
C4orf6	C4orf6	Chromosome 4 open reading frame 6	GO:0007399 	 	 	 	 
PTPRN2	PTPRN2	"Protein tyrosine phosphatase, receptor type, N polypeptide 2"	GO:0004725 GO:0004872 GO:0005001 GO:0005615 GO:0005887 GO:0006470 GO:0016020 GO:0016787 	hsa04940 	 	 	 
ELN	ELN	none	 	 	 	 	 
PRL	PRL	Prolactin	GO:0005148 GO:0005179 GO:0005576 GO:0005615 GO:0005625 GO:0007166 GO:0007516 GO:0007565 GO:0007595 GO:0008283 	hsa04060 hsa04080 hsa04630 	 	 	 
INHA	INHA	"Inhibin, alpha"	GO:0001501 GO:0001541 GO:0005125 GO:0005179 GO:0005515 GO:0005576 GO:0005615 GO:0006917 GO:0007050 GO:0007166 GO:0007267 GO:0007399 GO:0008083 GO:0009605 GO:0017106 GO:0030154 GO:0030218 GO:0042326 GO:0042541 GO:0045077 GO:0045578 GO:0045650 GO:0046881 GO	 	 	 	 
MAP3K10	MAP3K10	Mitogen-activated protein kinase kinase kinase 10	GO:0000166 GO:0003714 GO:0004672 GO:0004674 GO:0004706 GO:0004713 GO:0005515 GO:0005524 GO:0006468 GO:0006917 GO:0007165 GO:0007257 GO:0016481 GO:0016740 GO:0042803 GO:0046777 	hsa04010 	 	 	 
ZP2	ZP2	Zona pellucida glycoprotein 2 (sperm receptor)	GO:0005515 GO:0005578 GO:0005615 GO:0007338 GO:0007339 GO:0015026 GO:0016020 GO:0016021 	 	 	 	 
IGLL1	IGLL1	Immunoglobulin lambda-like polypeptide 1	GO:0006955 GO:0016020 	 	 	 	 
TCF8	TCF8	Transcription factor 8 (represses interleukin 2 expression)	GO:0000122 GO:0003676 GO:0003700 GO:0003713 GO:0003714 GO:0005622 GO:0005634 GO:0006355 GO:0006955 GO:0008270 GO:0008283 GO:0043565 GO:0046872 	 	 	 	 
AMHR2	AMHR2	"Anti-Mullerian hormone receptor, type II"	GO:0000166 GO:0000287 GO:0001880 GO:0004674 GO:0004713 GO:0004872 GO:0005024 GO:0005071 GO:0005524 GO:0005615 GO:0005887 GO:0006468 GO:0007165 GO:0007179 GO:0007530 GO:0007548 GO:0016020 GO:0016021 GO:0016740 GO:0030145 GO:0042562 	hsa04060 hsa04350 	 	 	 
MFGE8	MFGE8	Milk fat globule-EGF factor 8 protein	GO:0001786 GO:0005178 GO:0005515 GO:0005615 GO:0005811 GO:0006910 GO:0006911 GO:0007155 GO:0007338 GO:0008429 GO:0009897 GO:0019897 GO:0050766 	 	 	 	 
HRB2	HRB2	none	 	 	 	 	 
CDKN2D	CDKN2D	"Cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)"	GO:0000079 GO:0003700 GO:0004861 GO:0005634 GO:0005737 GO:0006355 GO:0007049 GO:0007050 GO:0007605 GO:0008285 	hsa04110 	 	 	182594
ZNF183	ZNF183	none	 	 	 	 	 
PIP5K2A	PIP5K2A	"Phosphatidylinositol-4-phosphate 5-kinase, type II, alpha"	GO:0006650 GO:0016301 GO:0016308 GO:0016740 	hsa00562 hsa04070 hsa04810 	 	 	 
MSTP9	MSTP9	"Macrophage stimulating, pseudogene 9"	 	 	 	 	 
IGFBP1	IGFBP1	Insulin-like growth factor binding protein 1	GO:0001558 GO:0005520 GO:0005576 GO:0005615 GO:0007165 	 	 	 	 
PLS1	PLS1	Plastin 1 (I isoform)	GO:0003779 GO:0005200 GO:0005509 GO:0005903 GO:0015629 GO:0051015 	 	 	 	 
ARG2	ARG2	"Arginase, type II"	GO:0000050 GO:0004053 GO:0005739 GO:0006527 GO:0006809 GO:0016787 GO:0030145 GO:0046872 	hsa00220 hsa00330 	 	 	 
FSHR	FSHR	Follicle stimulating hormone receptor	GO:0004872 GO:0004963 GO:0005515 GO:0005615 GO:0005886 GO:0007165 GO:0007186 GO:0007283 GO:0007292 GO:0008585 GO:0016021 	hsa04080 	 	 	 
RPS6KB1	RPS6KB1	"Ribosomal protein S6 kinase, 70kDa, polypeptide 1"	GO:0000166 GO:0004674 GO:0005524 GO:0006468 GO:0007165 GO:0007281 GO:0016740 	hsa04150 hsa04350 hsa04910 	 	74751 74752 77389 109703 109704 112399 165159 165720 166207 166208 	165718 165726 165758 165766 165777 
CHRNB1	CHRNB1	"Cholinergic receptor, nicotinic, beta 1 (muscle)"	GO:0004889 GO:0005216 GO:0005230 GO:0005615 GO:0005794 GO:0005886 GO:0005887 GO:0006812 GO:0006936 GO:0007165 GO:0007268 GO:0007271 GO:0015267 GO:0015464 GO:0016021 GO:0045211 	 	 	 	 
SERPINA6	SERPINA6	"Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6"	GO:0004867 GO:0005496 GO:0005615 GO:0006810 GO:0008289 	 	 	 	 
GNRH1	GNRH1	Gonadotropin-releasing hormone 1 (luteinizing-releasing hormone)	GO:0005183 GO:0005576 GO:0005625 GO:0007165 GO:0007267 GO:0007275 GO:0008285 	hsa04080 hsa04912 	 	 	 
PRKG1	PRKG1	"Protein kinase, cGMP-dependent, type I"	GO:0000166 GO:0001764 GO:0004672 GO:0004674 GO:0004692 GO:0005515 GO:0005524 GO:0005794 GO:0005952 GO:0006468 GO:0006940 GO:0007165 GO:0008603 GO:0016301 GO:0016358 GO:0016740 GO:0030036 GO:0030553 GO:0030900 	hsa04540 hsa04730 hsa04740 	 	 	 
AZU1	AZU1	Azurocidin 1 (cationic antimicrobial protein 37)	GO:0001774 GO:0004252 GO:0005576 GO:0006508 GO:0006916 GO:0006935 GO:0007205 GO:0008201 GO:0008347 GO:0015643 GO:0042117 GO:0042535 GO:0042582 GO:0043114 GO:0045123 GO:0045348 GO:0045785 GO:0048246 GO:0050725 GO:0050754 GO:0050766 GO:0050829 GO:0050896 GO	 	 	 	 
GTPBP1	GTPBP1	GTP binding protein 1	GO:0000166 GO:0005525 GO:0006412 GO:0006955 GO:0007165 	 	 	 	 
KCNN3	KCNN3	"Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3"	GO:0005216 GO:0005516 GO:0006813 GO:0015269 GO:0016020 GO:0016021 GO:0016286 	 	 	 	 
CHRNA2	CHRNA2	"Cholinergic receptor, nicotinic, alpha 2 (neuronal)"	GO:0004889 GO:0004890 GO:0005216 GO:0005230 GO:0005615 GO:0005892 GO:0006811 GO:0007165 GO:0007268 GO:0015464 GO:0016020 GO:0016021 GO:0045211 	 	 	 	 
ELF3	ELF3	"E74-like factor 3 (ets domain transcription factor, epithelial-specific )"	GO:0003700 GO:0003713 GO:0005634 GO:0006350 GO:0006355 GO:0006366 GO:0008544 GO:0009653 GO:0009790 GO:0030198 GO:0043565 	 	p50_(+LPS)	 	 
KCNJ2	KCNJ2	"Potassium inwardly-rectifying channel, subfamily J, member 2"	GO:0005242 GO:0005244 GO:0005267 GO:0005515 GO:0006811 GO:0006813 GO:0016020 GO:0016021 GO:0030955 	 	 	 	 
ATP6V1B1	ATP6V1B1	"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1 (Renal tubular acidosis with deafness)"	GO:0005524 GO:0005624 GO:0005737 GO:0005886 GO:0006811 GO:0006885 GO:0007588 GO:0007605 GO:0008553 GO:0015986 GO:0015988 GO:0016323 GO:0016324 GO:0016469 GO:0016787 GO:0046872 GO:0046933 GO:0046961 	hsa00190 hsa00193 	 	 	 
IGSF2	IGSF2	"Immunoglobulin superfamily, member 2"	GO:0005886 GO:0007166 GO:0016021 GO:0019735 	 	 	 	 
TNFSF7	TNFSF7	"Tumor necrosis factor (ligand) superfamily, member 7"	GO:0005164 GO:0005615 GO:0005887 GO:0006915 GO:0006955 GO:0007165 GO:0007267 GO:0008283 GO:0016020 GO:0016021 	hsa04060 	 	 	 
CHRM4	CHRM4	"Cholinergic receptor, muscarinic 4"	 	hsa04080 hsa04810 	 	 	 
SYN1	SYN1	Synapsin I	GO:0003779 GO:0003824 GO:0005215 GO:0005524 GO:0007268 GO:0007269 GO:0008021 GO:0030672 GO:0045202 GO:0046983 	 	 	 	 
CDH4	CDH4	"Cadherin 4, type 1, R-cadherin (retinal)"	GO:0005509 GO:0005515 GO:0005615 GO:0005886 GO:0007155 GO:0007156 GO:0007411 GO:0016021 GO:0045773 	hsa04514 	 	 	 
FOLR1	FOLR1	Folate receptor 1 (adult)	GO:0004872 GO:0005542 GO:0005615 GO:0005624 GO:0005887 GO:0006620 GO:0006898 GO:0008517 GO:0015884 GO:0016020 GO:0046655 GO:0048503 	 	 	 	 
FHL3	FHL3	Four and a half LIM domains 3	GO:0001725 GO:0003779 GO:0005634 GO:0007517 GO:0008270 GO:0030018 GO:0030036 GO:0046872 	 	RelB_(-LPS) RelB_(+LPS) p50_(+LPS)	 	 
AGTRL1	AGTRL1	Angiotensin II receptor-like 1	GO:0001584 GO:0004872 GO:0005886 GO:0005887 GO:0007165 GO:0007186 GO:0016020 GO:0016021 	hsa04080 	 	 	 
FGB	FGB	Fibrinogen beta chain	GO:0005576 GO:0005577 GO:0005615 GO:0005625 GO:0007596 GO:0008217 GO:0008284 	hsa04610 	 	75178 76005 76009 109582 114608 114611 140875 140877 	114560 114619 140840 140842 140851 
HBA1	HBA1	"Hemoglobin, alpha 1"	GO:0005344 GO:0005506 GO:0005833 GO:0006810 GO:0015671 GO:0019825 GO:0020037 GO:0046872 	 	 	 	 
C4BPA	C4BPA	"Complement component 4 binding protein, alpha"	GO:0005515 GO:0005576 GO:0005615 GO:0006958 GO:0045087 	hsa04610 	 	 	 
KLKB1	KLKB1	"Kallikrein B, plasma (Fletcher factor) 1"	GO:0003807 GO:0005576 GO:0006508 GO:0006954 GO:0007596 GO:0008233 GO:0042730 	hsa04610 	 	109582 140837 140877 	158218 158251 158311 158313 158340 158399 
PRSS11	PRSS11	none	 	 	 	 	 
ATP4B	ATP4B	"ATPase, H+/K+ exchanging, beta polypeptide"	GO:0005391 GO:0006811 GO:0006813 GO:0006814 GO:0008900 GO:0015992 GO:0016020 GO:0016021 GO:0030955 	hsa00190 	 	 	 
BTC	BTC	Betacellulin	GO:0000074 GO:0005154 GO:0005615 GO:0005625 GO:0008083 GO:0008283 GO:0008284 GO:0016020 GO:0016021 	 	 	 	 
DBT	DBT	Dihydrolipoamide branched chain transacylase E2	GO:0005515 GO:0005739 GO:0005947 GO:0008152 GO:0008415 GO:0016740 GO:0031405 	hsa00280 hsa00350 hsa00360 hsa00564 hsa00624 hsa00632 hsa00642 hsa00903 hsa00960 	 	70726 70793 70794 70845 70853 70894 70895 71291 	70713 70714 70716 70717 70719 70720 70722 70725 70849 70850 70852 
CATR1	CATR1	none	 	 	 	 	 
CYP2C18	CYP2C18	"Cytochrome P450, family 2, subfamily C, polypeptide 18"	GO:0004497 GO:0005506 GO:0005615 GO:0005783 GO:0005792 GO:0006118 GO:0016020 GO:0019825 GO:0020037 GO:0046872 GO:0050381 	hsa00590 hsa00591 hsa00980 	 	 	 
TNNC2	TNNC2	Troponin C type 2 (fast)	GO:0005509 GO:0005861 GO:0006937 	hsa04020 	 	 	 
PIGR	PIGR	Polymeric immunoglobulin receptor	GO:0005887 GO:0008565 GO:0009306 GO:0016020 GO:0016021 	 	 	 	 
